Link,originalPrice,salePrice,petiteFlag,curveFlag,maternityFlag,tallFlag,extraTallFlag,XXS,XS,S,M,L,XL,XXL,XXXL,Double_Zero,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
http://www.lulus.com/products/sway-the-night-denim-blue-wrap-dress/295672.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/olive-oak-dream-you-up-ivory-dress/295182.html,72.00,72.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/love-poem-ivory-lace-dress/294812.html,64.00,64.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/aquatic-queen-light-blue-floral-print-midi-dress/295202.html,68.00,68.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/sunny-feeling-yellow-lace-midi-dress/293302.html,62.00,62.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/love-poem-navy-blue-lace-dress/294382.html,64.00,64.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/brave-soul-navy-blue-maxi-dress/295032.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/brave-soul-black-maxi-dress/294732.html,48.00,48.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/to-the-hills-ivory-crochet-cover-up/211202.html,39.00,39.00,N,N,N,N,N,na,na,na,na,na,na,na,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/love-poem-yellow-lace-dress/294792.html,64.00,64.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/final-stretch-ivory-dress/84454.html,44.00,44.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/sway-the-night-blue-grey-wrap-dress/296252.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/others-follow-kiara-black-maxi-dress/285172.html,57.00,57.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/sway-the-night-beige-wrap-dress/296282.html,49.00,49.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/sunny-feeling-sage-green-lace-midi-dress/293832.html,62.00,62.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/moonlight-serenade-peach-strapless-maxi-dress/289262.html,82.00,82.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/greatest-gift-black-lace-dress/296102.html,54.00,54.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/dream-state-black-babydoll-dress/296122.html,45.00,45.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/dream-state-ivory-babydoll-dress/296092.html,45.00,45.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/grommet-expectations-ivory-swing-dress/295062.html,42.00,42.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/let-me-sea-blue-tie-dye-midi-dress/295232.html,39.00,39.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/obey-ursula-pale-yellow-print-shift-dress/295402.html,59.00,59.00,N,N,N,N,N,N,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/thrilled-to-bits-washed-green-dress/210082.html,36.00,36.00,N,N,N,N,N,na,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
http://www.lulus.com/products/grommet-expectations-black-swing-dress/295732.html,42.00,42.00,N,N,N,N,N,na,Y,Y,Y,Y,Y,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
